date	state	King	Snohomish	Pierce	Ann Arbor	Boston	San Diego	DC	USA
2020-01-22	0	0	0	0	0	0	0	0	0.00304655573119389
2020-01-23	0	0	0	0	0	0	0	0	0
2020-01-24	0	0	0	0	0	0	0	0	0
2020-01-25	0	0	0	0	0	0	0	0	0
2020-01-26	0	0	0	0	0	0	0	0	0
2020-01-27	0	0	0	0	0	0	0	0	0
2020-01-28	0	0	0	0	0	0	0	0	0
2020-01-29	0	0	0	0	0	0	0	0	0
2020-01-30	0	0	0	0	0	0	0	0	0
2020-01-31	0	0	0	0	0	0	0	0	0
2020-02-01	0	0	0	0	0	0	0	0	0
2020-02-02	0	0	0	0	0	0	0	0	0
2020-02-03	0	0	0	0	0	0	0	0	0
2020-02-04	0	0	0	0	0	0	0	0	0
2020-02-05	0	0	0	0	0	0	0	0	0
2020-02-06	0	0	0	0	0	0	0	0	0
2020-02-07	0	0	0	0	0	0	0	0	0
2020-02-08	0	0	0	0	0	0	0	0	0
2020-02-09	0	0	0	0	0	0	0	0	0
2020-02-10	0	0	0	0	0	0	0	0	0
2020-02-11	0	0	0	0	0	0	0	0	0
2020-02-12	0	0	0	0	0	0	0	0	0
2020-02-13	0	0	0	0	0	0	0	0	0
2020-02-14	0	0	0	0	0	0	0	0	0
2020-02-15	0	0	0	0	0	0	0	0	0
2020-02-16	0	0	0	0	0	0	0	0	0
2020-02-17	0	0	0	0	0	0	0	0	0
2020-02-18	0	0	0	0	0	0	0	0	0
2020-02-19	0	0	0	0	0	0	0	0	0
2020-02-20	0	0	0	0	0	0	0	0	0
2020-02-21	0	0	0	0	0	0	0	0	0
2020-02-22	0	0	0	0	0	0	0	0	0
2020-02-23	0	0	0	0	0	0	0	0	0
2020-02-24	0	0	0	0	0	0	0	0	0
2020-02-25	0	0	0	0	0	0	0	0	0
2020-02-26	0	0	0	0	0	0	0	0	0
2020-02-27	0	0	0	0	0	0	0	0	0
2020-02-28	0	0	0	0	0	0	0	0	0
2020-02-29	0.131321608852547	0.443895592205549	0	0	0	0	0	0	0.00304655573119389
2020-03-01	0	0	0	0	0	0	0	0	0
2020-03-02	0.656608044262736	1.77558236882219	1.21642218608097	0	0	0	0	0	0.0152327786559695
2020-03-03	0.131321608852547	0.443895592205549	0	0	0	0	0	0	0.00304655573119389
2020-03-04	0.393964826557642	1.33168677661665	0	0	0	0	0	0	0.0121862229247756
2020-03-05	0.131321608852547	0.443895592205549	0	0	0	0	0	0	0.00304655573119389
2020-03-06	0.262643217705094	0.887791184411097	0	0	0	0	0	0	0.00609311146238779
2020-03-07	0.393964826557642	1.33168677661665	0	0	0	0	0	0	0.00913966719358168
2020-03-08	0.262643217705094	0.887791184411097	0	0	0	0	0	0	0.0121862229247756
2020-03-09	0.131321608852547	0	0	0	0	0	0	0	0.00609311146238779
2020-03-10	0.525286435410189	1.77558236882219	0	0	0	0	0	0	0.0152327786559695
2020-03-11	0.131321608852547	0.443895592205549	0	0	0	0	0	0	0.0152327786559695
2020-03-12	0.919251261967831	2.21947796102774	2.43284437216193	0	0	0	0	0	0.0335121130431328
2020-03-13	0.787929653115283	2.21947796102774	1.21642218608097	0	0	0	0	0	0.0213258901183573
2020-03-14	0.262643217705094	0.887791184411097	0	0	0	0	0	0	0.027419001580745
2020-03-15	0.131321608852547	0.443895592205549	0	0	0	0	0	0	0.0335121130431328
2020-03-16	1.05057287082038	3.55116473764439	0	0	0	0	0	0	0.0761638932798474
2020-03-17	0.919251261967831	1.33168677661665	2.43284437216193	0	0	0	0	0	0.10967600632298
2020-03-18	1.57585930623057	4.43895592205549	0	1.10499679550929	0	0	0	0	0.198026122527603
2020-03-19	0.787929653115283	1.77558236882219	1.21642218608097	0	0	0	0	0	0.228491679839542
2020-03-20	1.31321608852547	3.10726914543884	1.21642218608097	0	0	1.24392498137222	0	1.4169343491808	0.319888351775359
2020-03-21	1.44453769737802	3.10726914543884	2.43284437216193	0	0	0	0	-1.4169343491808	0.316841796044165
2020-03-22	0.393964826557642	0.443895592205549	0	0	0	0	0	2.8338686983616	0.368633243474461
2020-03-23	1.57585930623057	5.32674710646658	1.21642218608097	0	0	0	0.299550973091336	0	0.569705921733258
2020-03-24	0.919251261967831	0	6.08211093040484	0	8.16102241288789	0	0	0	0.740313042680116
2020-03-25	2.2324673504933	6.21453829087768	0	1.10499679550929	0	0	0.299550973091336	0	1.01450305848757
2020-03-26	2.2324673504933	3.55116473764439	2.43284437216193	2.20999359101859	0	1.24392498137222	0.299550973091336	1.4169343491808	1.27041373990785
2020-03-27	0.919251261967831	0	6.08211093040484	1.10499679550929	0	0	0	0	1.59030209168321
2020-03-28	4.07096987442896	11.9851809895498	0	0	0	1.24392498137222	0.898652919274008	1.4169343491808	2.17219423634125
2020-03-29	1.31321608852547	2.21947796102774	0	1.10499679550929	5.44068160859192	0	0.299550973091336	1.4169343491808	1.69083843081261
2020-03-30	0.919251261967831	1.33168677661665	0	0	2.72034080429596	2.48784996274445	0	5.6677373967232	2.15391490195408
2020-03-31	2.62643217705094	2.66337355323329	12.1642218608097	0	2.72034080429596	1.24392498137222	0	0	3.28723363395821
2020-04-01	11.1623367524665	19.0875104648386	17.0299106051335	2.20999359101859	2.72034080429596	8.70747486960556	0.599101946182672	0	3.88740511300341
2020-04-02	3.93964826557642	4.88285151426103	6.08211093040484	2.20999359101859	0	7.46354988823334	1.79730583854802	4.2508030475424	4.60334570983397
2020-04-03	3.80832665672387	5.77064269867213	2.43284437216193	0	0	2.48784996274445	0.299550973091336	4.2508030475424	4.32610913829533
2020-04-04	3.80832665672387	5.32674710646658	4.86568874432387	4.41998718203717	0	6.21962490686112	0.299550973091336	8.5016060950848	4.89276850429739
2020-04-05	3.67700504787132	7.10232947528878	3.6492665582429	2.20999359101859	0	1.24392498137222	0.299550973091336	1.4169343491808	4.92932717307172
2020-04-06	3.15171861246113	5.77064269867213	2.43284437216193	1.10499679550929	5.44068160859192	4.97569992548889	0.299550973091336	2.8338686983616	5.27968108215902
2020-04-07	3.15171861246113	6.65843388308323	1.21642218608097	2.20999359101859	2.72034080429596	11.19532483235	0	-2.8338686983616	7.84792756355547
2020-04-08	1.96982413278821	4.43895592205549	1.21642218608097	1.10499679550929	5.44068160859192	9.95139985097779	3.59461167709603	7.084671745904	6.55314137779807
2020-04-09	2.36378895934585	3.10726914543884	3.6492665582429	2.20999359101859	5.44068160859192	0	1.49775486545668	7.084671745904	6.74202783313209
2020-04-10	2.2324673504933	5.32674710646658	1.21642218608097	2.20999359101859	0	0	1.19820389236534	8.5016060950848	6.65977082838985
2020-04-11	3.02039700360859	4.88285151426103	6.08211093040484	2.20999359101859	8.16102241288789	38.5616744225389	1.19820389236534	12.7524091426272	6.52267582048613
2020-04-12	1.96982413278821	2.21947796102774	2.43284437216193	1.10499679550929	0	8.70747486960556	0.299550973091336	4.2508030475424	5.75494377622527
