date	state	King	Snohomish	Pierce	Ann Arbor	Boston	San Diego	DC	USA
2020-01-22	0.132703592856884	0.447795346779434	0	0	0	0	0	0	0.00304655573119389
2020-01-23	0	0	0	0	0	0	0	0	0
2020-01-24	0	0	0	0	0	0	0	0	0.00304655573119389
2020-01-25	0	0	0	0	0	0	0	0	0
2020-01-26	0	0	0	0	0	0	0	0	0.00913966719358168
2020-01-27	0	0	0	0	0	0	0	0	0
2020-01-28	0	0	0	0	0	0	0	0	0
2020-01-29	0	0	0	0	0	1.24392498137222	0	0	0.00304655573119389
2020-01-30	0	0	0	0	0	0	0	0	0
2020-01-31	0	0	0	0	0	0	0	0	0.00609311146238779
2020-02-01	0	0	0	0	0	0	0	0	0
2020-02-02	0	0	0	0	0	0	0	0	0
2020-02-03	0	0	0	0	0	0	0	0	0.00913966719358168
2020-02-04	0	0	0	0	0	0	0	0	0
2020-02-05	0	0	0	0	0	0	0	0	0
2020-02-06	0	0	0	0	0	0	0	0	0.00304655573119389
2020-02-07	0	0	0	0	0	0	0	0	0
2020-02-08	0	0	0	0	0	0	0	0	0
2020-02-09	0	0	0	0	0	0	0	0	0
2020-02-10	0	0	0	0	0	0	0	0	0
2020-02-11	0	0	0	0	0	0	0.299550973091336	0	0.00304655573119389
2020-02-12	0	0	0	0	0	0	0	0	0
2020-02-13	0	0	0	0	0	0	0.299550973091336	0	0.00304655573119389
2020-02-14	0	0	0	0	0	0	0	0	0
2020-02-15	0	0	0	0	0	0	0	0	0
2020-02-16	0	0	0	0	0	0	0	0	0
2020-02-17	0	0	0	0	0	0	0	0	0.00304655573119389
2020-02-18	0	0	0	0	0	0	0	0	0.00304655573119389
2020-02-19	0	0	0	0	0	0	0	0	0
2020-02-20	0	0	0	0	0	0	0	0	0
2020-02-21	0	0	0	0	0	0	0	0	0
2020-02-22	0	0	0	0	0	0	0	0	0
2020-02-23	0	0	0	0	0	0	0	0	0
2020-02-24	0	0	0	0	0	0	0	0	0.00304655573119389
2020-02-25	0	0	0	0	0	0	0	0	0.00304655573119389
2020-02-26	0	0	0	0	0	0	0	0	0.00304655573119389
2020-02-27	0	0	0	0	0	0	0	0	0
2020-02-28	0	0	0	0	0	0	0	0	0
2020-02-29	0.796221557141304	2.23897673389717	1.22714292901837	0	0	0	0	0	0.0213258901183573
2020-03-01	0.530814371427536	1.3433860403383	1.22714292901837	0	0	0	0	0	0.0396052245055206
2020-03-02	0.928925149998189	2.23897673389717	2.45428585803674	0	0	0	0	0	0.0548380031614901
2020-03-03	1.19433233571196	3.13456742745603	2.45428585803674	0	0	0	0	0	0.0670242260862657
2020-03-04	1.59244311428261	4.47795346779434	2.45428585803674	0	0	2.48784996274445	0	0	0.103582894860592
2020-03-05	4.11381137856341	8.95590693558867	12.2714292901837	0	0	1.24392498137222	0.299550973091336	0	0.216305456914766
2020-03-06	1.06162874285507	3.13456742745603	1.22714292901837	0	0	6.21962490686112	0	0	0.191933011065215
2020-03-07	3.18488622856522	5.82133950813264	9.81714343214697	1.1219579512599	0	9.95139985097779	0	0	0.517914474302962
2020-03-08	2.65407185713768	5.3735441613532	4.90857171607349	3.36587385377971	0	3.73177494411667	0	0	0.368633243474461
2020-03-09	0	0	0	0	0	0	0	0	0.280283127269838
2020-03-10	5.30814371427536	14.7772464437213	7.36285757411023	0	0	2.48784996274445	0	0	0.50877480710938
2020-03-11	15.9244311428261	33.1368556616781	38.0414307995695	11.219579512599	0	6.21962490686112	0	0	1.09371350749861
2020-03-12	16.4552455142536	35.8236277423547	49.0857171607349	3.36587385377971	0	6.21962490686112	0.599101946182672	0	1.34048452172531
2020-03-13	12.8722485071178	25.9721301132071	30.6785732254593	2.24391590251981	10.8813632171838	16.1710247578389	0.898652919274008	0	1.90714388772738
2020-03-14	13.2703592856884	26.4199254599866	25.7700015093858	7.85370565881932	0	17.4149497392111	0.599101946182672	0	2.22398568377154
2020-03-15	0	0	0	0	2.72034080429596	18.6588747205834	1.79730583854802	0	0.859128716196678
2020-03-16	23.3558323428116	45.2273300247228	56.4485747348451	13.4634954151188	10.8813632171838	53.4887741990056	11.6824879505621	31.1725556819776	4.36571436280085
2020-03-17	23.3558323428116	36.2714230891341	80.9914333152125	7.85370565881932	0	65.9280240127278	0	0	5.43200886871871
2020-03-18	8.89114072141123	-3.13456742745603	53.9942888768083	12.3415374638589	0	72.147648919589	1.49775486545668	12.7524091426272	8.24397980861068
2020-03-19	26.6734221642337	58.6611904281058	46.6314313026981	21.3172010739382	21.7627264343677	74.6354988823334	5.99101946182672	12.7524091426272	13.7308266804909
2020-03-20	22.6923143785272	44.7795346779433	45.4042883736797	8.97566361007922	5.44068160859192	99.5139985097779	14.0788957352928	43.9249648246048	19.5010032353721
2020-03-21	33.5740089927917	63.1391438959001	76.082861599139	13.4634954151188	38.0847712601435	75.8794238637056	0	38.2572274278816	18.2549619413138
2020-03-22	24.6828682713804	47.46630675862	40.4957166576063	13.4634954151188	21.7627264343677	59.7083991058667	8.38742724655741	5.6677373967232	27.0777873388513
2020-03-23	32.2469730642228	58.2133950813264	47.8585742317165	21.3172010739382	21.7627264343677	140.563522895061	13.7793447622015	25.5048182852544	33.9751895142743
