date	state	King	Snohomish	Pierce	Ann Arbor	Boston	San Diego	DC	USA
2020-01-22	0	0	0	0	0	0	0	0	0.00304655573119389
2020-01-23	0	0	0	0	0	0	0	0	0
2020-01-24	0	0	0	0	0	0	0	0	0
2020-01-25	0	0	0	0	0	0	0	0	0
2020-01-26	0	0	0	0	0	0	0	0	0
2020-01-27	0	0	0	0	0	0	0	0	0
2020-01-28	0	0	0	0	0	0	0	0	0
2020-01-29	0	0	0	0	0	0	0	0	0
2020-01-30	0	0	0	0	0	0	0	0	0
2020-01-31	0	0	0	0	0	0	0	0	0
2020-02-01	0	0	0	0	0	0	0	0	0
2020-02-02	0	0	0	0	0	0	0	0	0
2020-02-03	0	0	0	0	0	0	0	0	0
2020-02-04	0	0	0	0	0	0	0	0	0
2020-02-05	0	0	0	0	0	0	0	0	0
2020-02-06	0	0	0	0	0	0	0	0	0
2020-02-07	0	0	0	0	0	0	0	0	0
2020-02-08	0	0	0	0	0	0	0	0	0
2020-02-09	0	0	0	0	0	0	0	0	0
2020-02-10	0	0	0	0	0	0	0	0	0
2020-02-11	0	0	0	0	0	0	0	0	0
2020-02-12	0	0	0	0	0	0	0	0	0
2020-02-13	0	0	0	0	0	0	0	0	0
2020-02-14	0	0	0	0	0	0	0	0	0
2020-02-15	0	0	0	0	0	0	0	0	0
2020-02-16	0	0	0	0	0	0	0	0	0
2020-02-17	0	0	0	0	0	0	0	0	0
2020-02-18	0	0	0	0	0	0	0	0	0
2020-02-19	0	0	0	0	0	0	0	0	0
2020-02-20	0	0	0	0	0	0	0	0	0
2020-02-21	0	0	0	0	0	0	0	0	0
2020-02-22	0	0	0	0	0	0	0	0	0
2020-02-23	0	0	0	0	0	0	0	0	0
2020-02-24	0	0	0	0	0	0	0	0	0
2020-02-25	0	0	0	0	0	0	0	0	0
2020-02-26	0	0	0	0	0	0	0	0	0
2020-02-27	0	0	0	0	0	0	0	0	0
2020-02-28	0	0	0	0	0	0	0	0	0
2020-02-29	0.132703592856884	0.447795346779434	0	0	0	0	0	0	0.00304655573119389
2020-03-01	0	0	0	0	0	0	0	0	0
2020-03-02	0.66351796428442	1.79118138711773	1.22714292901837	0	0	0	0	0	0.0152327786559695
2020-03-03	0.132703592856884	0.447795346779434	0	0	0	0	0	0	0.00304655573119389
2020-03-04	0.398110778570652	1.3433860403383	0	0	0	0	0	0	0.0121862229247756
2020-03-05	0.132703592856884	0.447795346779434	0	0	0	0	0	0	0.00304655573119389
2020-03-06	0.265407185713768	0.895590693558867	0	0	0	0	0	0	0.00609311146238779
2020-03-07	0.398110778570652	1.3433860403383	0	0	0	0	0	0	0.00913966719358168
2020-03-08	0.265407185713768	0.895590693558867	0	0	0	0	0	0	0.0121862229247756
2020-03-09	0.132703592856884	0	0	0	0	0	0	0	0.00609311146238779
2020-03-10	0.530814371427536	1.79118138711773	0	0	0	0	0	0	0.0152327786559695
2020-03-11	0.132703592856884	0.447795346779434	0	0	0	0	0	0	0.0152327786559695
2020-03-12	0.928925149998189	2.23897673389717	2.45428585803674	0	0	0	0	0	0.0335121130431328
2020-03-13	0.796221557141304	2.23897673389717	1.22714292901837	0	0	0	0	0	0.0213258901183573
2020-03-14	0.265407185713768	0.895590693558867	0	0	0	0	0	0	0.027419001580745
2020-03-15	0.132703592856884	0.447795346779434	0	0	0	0	0	0	0.0335121130431328
2020-03-16	1.06162874285507	3.58236277423547	0	0	0	0	0	0	0.0761638932798474
2020-03-17	0.928925149998189	1.3433860403383	2.45428585803674	0	0	0	0	0	0.10967600632298
2020-03-18	1.59244311428261	4.47795346779434	0	1.1219579512599	0	0	0	0	0.198026122527603
2020-03-19	0.796221557141304	1.79118138711773	1.22714292901837	0	0	0	0	0	0.228491679839542
2020-03-20	1.32703592856884	3.13456742745603	1.22714292901837	0	0	1.24392498137222	0	1.4169343491808	0.319888351775359
2020-03-21	1.45973952142572	3.13456742745603	2.45428585803674	0	0	0	0	-1.4169343491808	0.316841796044165
2020-03-22	0.398110778570652	0.447795346779434	0	0	0	0	0	2.8338686983616	0.368633243474461
2020-03-23	1.59244311428261	5.3735441613532	1.22714292901837	0	0	0	0.299550973091336	0	0.569705921733258
2020-03-24	0.928925149998189	0	6.13571464509186	0	8.16102241288789	0	0	0	0.740313042680116
2020-03-25	2.25596107856703	6.26913485491207	0	1.1219579512599	0	0	0.299550973091336	0	1.01450305848757
2020-03-26	2.25596107856703	3.58236277423547	2.45428585803674	2.24391590251981	0	1.24392498137222	0.299550973091336	1.4169343491808	1.27041373990785
2020-03-27	0.928925149998189	0	6.13571464509186	1.1219579512599	0	0	0	0	1.59030209168321
2020-03-28	4.11381137856341	12.0904743630447	0	0	0	1.24392498137222	0.898652919274008	1.4169343491808	2.17219423634125
2020-03-29	1.32703592856884	2.23897673389717	0	1.1219579512599	5.44068160859192	0	0.299550973091336	1.4169343491808	1.69083843081261
2020-03-30	0.928925149998189	1.3433860403383	0	0	2.72034080429596	2.48784996274445	0	5.6677373967232	2.15391490195408
2020-03-31	2.65407185713768	2.6867720806766	12.2714292901837	0	2.72034080429596	1.24392498137222	0	0	3.28723363395821
2020-04-01	11.2798053928351	19.2551999115156	17.1800010062572	2.24391590251981	2.72034080429596	8.70747486960556	0.599101946182672	0	3.94833622762729
2020-04-02	3.98110778570652	4.92574881457377	6.13571464509186	2.24391590251981	0	7.46354988823334	1.79730583854802	4.2508030475424	4.58506637544681
2020-04-03	3.84840419284964	5.82133950813264	2.45428585803674	0	0	2.48784996274445	0.299550973091336	4.2508030475424	4.35962125133846
2020-04-04	3.84840419284964	5.3735441613532	4.90857171607349	4.48783180503961	0	6.21962490686112	0.299550973091336	8.5016060950848	4.87753572564142
2020-04-05	3.71570059999275	7.16472554847094	3.68142878705511	2.24391590251981	0	1.24392498137222	0.299550973091336	1.4169343491808	4.95065306319008
2020-04-06	3.18488622856522	5.82133950813264	2.45428585803674	1.1219579512599	5.44068160859192	4.97569992548889	0.299550973091336	2.8338686983616	5.26444830350305
2020-04-07	3.18488622856522	6.7169302016915	1.22714292901837	2.24391590251981	2.72034080429596	11.19532483235	0	-2.8338686983616	7.84792756355547
2020-04-08	1.99055389285326	4.47795346779434	1.22714292901837	1.1219579512599	5.44068160859192	9.95139985097779	3.59461167709603	7.084671745904	6.57751382364762
2020-04-09	2.38866467142391	3.13456742745603	3.68142878705511	2.24391590251981	5.44068160859192	0	1.49775486545668	7.084671745904	6.71460883155134
2020-04-10	2.25596107856703	5.3735441613532	1.22714292901837	2.24391590251981	0	0	1.19820389236534	8.5016060950848	6.65672427265866
2020-04-11	3.05218263570833	4.92574881457377	6.13571464509186	2.24391590251981	8.16102241288789	38.5616744225389	1.19820389236534	12.7524091426272	6.51962926475493
2020-04-12	1.99055389285326	2.23897673389717	2.45428585803674	1.1219579512599	0	8.70747486960556	0.299550973091336	4.2508030475424	5.77931622207482
